75.5266	81.0575	78.6968	7.5105
75.4665	82.2023	77.3491	6.9152
75.746	79.6175	75.4916	9.09958
75.5415	81.128	77.7001	7.4991
76.3687	61.8054	68.1558	3.99834
76.0482	63.3124	67.854	3.9276
76.9836	64.2803	68.1074	9.8543
76.9863	84.0548	73.2804	6.85288
76.1292	86.3547	69.9377	12.6328
76.5515	64.7472	69.7727	3.53206
76.0759	83.9124	74.5244	5.51962
76.7564	86.6531	69.9487	5.01256
76.3908	66.0859	71.5159	3.622
76.841	85.7273	73.1905	11.384
76.8564	64.6141	67.0672	7.44062
78.7955	81.837	71.9082	6.2157
80.4961	60.6	63.8152	6.50324
75.6405	63.816	69.6126	9.70722
76.0482	63.3124	67.854	3.9276
74.1981	63.7822	67.2278	5.50178
76.9836	64.2803	68.1074	9.8543
77.0677	64.3537	66.1246	5.95342
76.5515	64.7472	69.7727	3.53206
76.8564	64.6141	67.0672	7.44062
77.7485	81.0786	69.2058	4.2323
79.2548	81.9079	69.2371	8.70384
78.7955	81.837	71.9082	6.2157
77.2836	81.2838	69.0785	4.30746
76.9863	84.0548	73.2804	6.85288
78.5871	84.2843	71.3005	5.30772
77.6526	84.512	65.1035	5.55884
75.6897	84.4989	70.2602	4.18198
77.1198	84.8514	66.9658	9.46794
80.0286	85.0087	73.9912	5.596
76.9506	86.6315	66.1112	6.09744
76.1292	86.3547	69.9377	12.6328
76.7564	86.6531	69.9487	5.01256
75.8618	88.3147	54.4139	4.3082
74.1784	85.3696	66.5924	5.52424
76.9506	86.6315	66.1112	6.09744
77.1198	84.8514	66.9658	9.46794
77.7485	81.0786	69.2058	4.2323
79.4208	77.9196	69.1564	6.23196
79.2548	81.9079	69.2371	8.70384
78.4763	80.7888	69.2394	4.06398
77.2836	81.2838	69.0785	4.30746
69.8312	88.3418	71.6211	5.00058
80.0286	85.0087	73.9912	5.596
79.8941	63.0531	73.9608	4.37764
73.6772	83.393	73.781	7.22844
76.9863	84.0548	73.2804	6.85288
73.0972	84.6905	73.6635	13.4814
76.841	85.7273	73.1905	11.384
77.9671	85.2502	73.4963	12.1359
78.5612	62.0536	73.2449	4.67664
75.4665	82.2023	77.3491	6.9152
77.0834	82.8502	77.3259	5.18654
75.5415	81.128	77.7001	7.4991
74.2053	84.4658	77.9931	4.33062
